task_id,operator_id,expected_time,simulated_time,expected_quality
task0_scenario2_1,os5,6,6,60
task1_scenario1_2,os5,9,10,70
task2_scenario1_3,os5,9,10,70
task3_scenario1_6,os5,9,9,70
task4_scenario2_10,os5,6,7,60
task5_scenario2_11,os5,6,6,60
task6_scenario1_13,os5,9,8,70
task7_scenario1_14,os5,9,10,70
task8_scenario1_15,os5,9,9,70
task9_scenario1_16,os5,9,8,70
task10_scenario4_17,os5,12,13,30
task11_scenario2_18,os5,6,3,60
task12_scenario1_19,os5,9,9,70
task13_scenario1_20,os5,9,10,70
task14_scenario2_24,os5,6,7,60
task15_scenario2_25,os5,6,3,60
task16_scenario2_26,os5,6,4,60
task17_scenario1_30,os5,9,8,70
task18_scenario2_31,os5,6,5,60
task19_scenario2_32,os5,6,7,60
task20_scenario1_33,os5,9,7,70
task21_scenario1_35,os5,9,10,70
task22_scenario2_36,os5,6,5,60
task23_scenario2_37,os5,6,7,60
task24_scenario2_40,os5,6,6,60
task25_scenario2_41,os5,6,5,60
task26_scenario1_43,os5,9,9,70
task27_scenario1_44,os5,9,9,70
task28_scenario1_45,os5,9,9,70
task29_scenario1_46,os5,9,9,70
task30_scenario1_48,os5,9,8,70
task31_scenario2_50,os5,6,7,60
task32_scenario1_51,os5,9,8,70
task33_scenario1_52,os5,9,9,70
task34_scenario1_54,os5,9,10,70
task35_scenario1_55,os5,9,9,70
task36_scenario1_56,os5,9,8,70
task37_scenario2_57,os5,6,8,60
task38_scenario2_58,os5,6,8,60
task39_scenario3_59,os5,4,2,20
task40_scenario1_60,os5,9,9,70
task41_scenario1_61,os5,9,9,70
task42_scenario1_62,os5,9,9,70
task43_scenario1_63,os5,9,8,70
task44_scenario1_64,os5,9,10,70
task45_scenario2_66,os5,6,6,60
task46_scenario2_67,os5,6,7,60
task47_scenario4_68,os5,12,12,30
task48_scenario2_69,os5,6,4,60
task49_scenario2_70,os5,6,7,60
task50_scenario1_71,os5,9,9,70
task51_scenario2_72,os5,6,8,60
task52_scenario1_73,os5,9,9,70
task53_scenario1_74,os5,9,9,70
task54_scenario1_75,os5,9,9,70
task55_scenario1_76,os5,9,8,70
task56_scenario1_77,os5,9,10,70
task57_scenario1_79,os5,9,9,70
task58_scenario1_80,os5,9,8,70
task59_scenario1_82,os5,9,10,70
task60_scenario1_83,os5,9,9,70
task61_scenario2_84,os5,6,5,60
task62_scenario1_86,os5,9,8,70
task63_scenario2_87,os5,6,5,60
task64_scenario1_89,os5,9,8,70
task65_scenario1_90,os5,9,9,70
task66_scenario1_91,os5,9,9,70
task67_scenario2_92,os5,6,7,60
task68_scenario1_93,os5,9,8,70
task69_scenario2_94,os5,6,5,60
task70_scenario1_95,os5,9,8,70
task71_scenario2_96,os5,6,6,60
task72_scenario2_97,os5,6,8,60
task73_scenario1_98,os5,9,8,70
task74_scenario1_101,os5,9,9,70
task75_scenario1_102,os5,9,9,70
task76_scenario2_104,os5,6,5,60
task77_scenario1_105,os5,9,10,70
task78_scenario1_106,os5,9,8,70
task79_scenario2_108,os5,6,5,60
task80_scenario1_110,os5,9,8,70
task81_scenario3_111,os5,4,3,20
task82_scenario1_112,os5,9,10,70
task83_scenario2_113,os5,6,5,60
task84_scenario1_115,os5,9,9,70
task85_scenario2_116,os5,6,4,60
task86_scenario1_117,os5,9,8,70
task87_scenario1_118,os5,9,8,70
task88_scenario3_119,os5,4,4,20
task89_scenario4_120,os5,12,12,30
task90_scenario2_121,os5,6,5,60
task91_scenario4_122,os5,12,12,30
task92_scenario1_123,os5,9,9,70
task93_scenario1_124,os5,9,9,70
task94_scenario1_125,os5,9,8,70
task95_scenario2_127,os5,6,5,60
task96_scenario2_128,os5,6,6,60
task97_scenario1_132,os5,9,8,70
task98_scenario1_134,os5,9,8,70
task99_scenario2_136,os5,6,4,60
task100_scenario2_137,os5,6,6,60
task101_scenario3_138,os5,4,3,20
task102_scenario2_139,os5,6,6,60
task103_scenario2_140,os5,6,6,60
task104_scenario2_141,os5,6,7,60
task105_scenario4_142,os5,12,12,30
task106_scenario2_143,os5,6,5,60
task107_scenario1_144,os5,9,7,70
task108_scenario4_145,os5,12,12,30
task109_scenario1_147,os5,9,8,70
task110_scenario2_149,os5,6,7,60
task111_scenario4_150,os5,12,12,30
task112_scenario1_151,os5,9,8,70
task113_scenario2_152,os5,6,5,60
task114_scenario1_153,os5,9,8,70
task115_scenario2_154,os5,6,4,60
task116_scenario1_155,os5,9,9,70
task117_scenario2_156,os5,6,5,60
task118_scenario1_157,os5,9,9,70
task119_scenario1_158,os5,9,8,70
task120_scenario3_159,os5,4,4,20
task121_scenario1_161,os5,9,8,70
task122_scenario1_162,os5,9,10,70
task123_scenario3_163,os5,4,4,20
task124_scenario1_164,os5,9,10,70
task125_scenario4_165,os5,12,13,30
task126_scenario2_167,os5,6,8,60
task127_scenario1_168,os5,9,11,70
task128_scenario2_170,os5,6,8,60
task129_scenario1_172,os5,9,7,70
task130_scenario2_173,os5,6,8,60
task131_scenario2_175,os5,6,6,60
task132_scenario4_176,os5,12,13,30
task133_scenario2_180,os5,6,5,60
task134_scenario2_181,os5,6,5,60
task135_scenario2_182,os5,6,6,60
task136_scenario2_183,os5,6,4,60
task137_scenario3_184,os5,4,4,20
task138_scenario2_185,os5,6,6,60
task139_scenario1_186,os5,9,9,70
task140_scenario2_187,os5,6,6,60
task141_scenario2_188,os5,6,7,60
task142_scenario1_189,os5,9,6,70
task143_scenario2_190,os5,6,5,60
task144_scenario1_191,os5,9,10,70
task145_scenario2_192,os5,6,5,60
task146_scenario2_193,os5,6,7,60
task147_scenario4_194,os5,12,12,30
task148_scenario2_195,os5,6,5,60
task149_scenario1_196,os5,9,10,70
task150_scenario2_197,os5,6,6,60
task151_scenario1_198,os5,9,9,70
task152_scenario2_199,os5,6,7,60
task153_scenario1_200,os5,9,8,70
task154_scenario1_201,os5,9,9,70
task155_scenario2_202,os5,6,6,60
task156_scenario2_203,os5,6,7,60
task157_scenario1_204,os5,9,8,70
task158_scenario1_205,os5,9,8,70
task159_scenario1_206,os5,9,9,70
task160_scenario2_207,os5,6,4,60
task161_scenario1_208,os5,9,10,70
task162_scenario2_209,os5,6,7,60
task163_scenario1_210,os5,9,10,70
task164_scenario1_211,os5,9,9,70
task165_scenario2_212,os5,6,5,60
