jobId,arrivalTime,maxStartDelay,urgency,minTimeForHandling,maxTimeForHandling,location,terrain,vehicle,timeOfTheDay,weather,scenarioType
job0_scenario2_0,0,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job1_scenario1_1,1,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job2_scenario2_2,2,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job3_scenario2_3,3,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job4_scenario1_4,4,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job5_scenario1_6,6,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job6_scenario1_7,7,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job7_scenario2_8,8,20,4,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job8_scenario2_10,10,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job9_scenario1_11,11,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job10_scenario2_13,13,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job11_scenario2_15,15,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job12_scenario1_16,16,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job13_scenario1_17,17,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job14_scenario1_18,18,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job15_scenario1_19,19,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job16_scenario1_21,21,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job17_scenario1_24,24,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job18_scenario1_25,25,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job19_scenario3_26,26,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job20_scenario1_27,27,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job21_scenario1_28,28,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job22_scenario2_29,29,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job23_scenario1_30,30,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job24_scenario2_33,33,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job25_scenario1_37,37,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job26_scenario1_38,38,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job27_scenario1_39,39,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job28_scenario3_41,41,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job29_scenario1_43,43,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job30_scenario1_44,44,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job31_scenario1_47,47,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job32_scenario1_48,48,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job33_scenario1_49,49,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job34_scenario1_51,51,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
