scenario,simul,run,eval_LP,eval_LP_heuristic,eval_greedy,tt_eval_LP,tt_eval_LP_heuristic,tt_eval_greedy,rejects_LP,rejects_LP_heuristic,rejects_greedy,prec_rejects_LP,prec_rejects_LP_heuristic,prec_rejects_greedy,num_workers,C
scenario1,simul0,1,262.9180729006484,325.44343097924695,263.99446797699443,260.9527920140338,323.483670617915,263.52484978693326,116,76,122,39.45578231292517,25.85034013605442,41.49659863945578,4,45
scenario1,simul0,2,265.9913004373665,317.6350518702076,263.99446797699443,263.959473786098,315.53691588386323,263.52484978693326,114,81,122,38.775510204081634,27.551020408163264,41.49659863945578,4,45
scenario1,simul0,3,263.2871728468805,313.5768755608936,263.99446797699443,261.3214476931805,311.91217690161136,263.52484978693326,116,84,122,39.45578231292517,28.571428571428573,41.49659863945578,4,45
scenario1,simul0,4,269.0133342497044,318.50328525006523,263.99446797699443,266.9474671749887,316.5015792026559,263.52484978693326,112,81,122,38.095238095238095,27.551020408163264,41.49659863945578,4,45
scenario1,simul0,5,267.7688160891346,303.66107438733644,263.99446797699443,265.72865485654165,301.9814558826615,263.52484978693326,113,91,122,38.435374149659864,30.952380952380953,41.49659863945578,4,45
scenario1,simul0,6,268.839291581601,317.64693972937357,263.99446797699443,266.68519233457386,315.3661702291047,263.52484978693326,112,82,122,38.095238095238095,27.891156462585034,41.49659863945578,4,45
scenario1,simul0,7,265.9947090128632,329.50885176025724,263.99446797699443,263.93771349412594,327.7774713073877,263.52484978693326,114,74,122,38.775510204081634,25.170068027210885,41.49659863945578,4,45
scenario1,simul0,8,265.9913004373665,308.38320005495405,263.99446797699443,263.958049231511,306.4642096262039,263.52484978693326,114,87,122,38.775510204081634,29.591836734693878,41.49659863945578,4,45
scenario1,simul0,9,266.0102168268859,322.5714361562108,263.99446797699443,263.8698642189308,320.27066068893777,263.52484978693326,114,78,122,38.775510204081634,26.53061224489796,41.49659863945578,4,45
scenario1,simul0,10,269.40262655234994,322.81898100579167,263.99446797699443,267.26016959808055,320.84774307307043,263.52484978693326,112,79,122,38.095238095238095,26.87074829931973,41.49659863945578,4,45
scenario1,simul1,1,263.31041963051365,319.17884938104106,265.460915006991,260.95890120293353,317.16069668929276,265.3578218065797,116,80,121,39.45578231292517,27.210884353741495,41.156462585034014,4,45
scenario1,simul1,2,262.96595011811917,311.7000135202848,265.460915006991,260.6449167446517,309.8147123337319,265.3578218065797,116,85,121,39.45578231292517,28.91156462585034,41.156462585034014,4,45
scenario1,simul1,3,264.82418478487654,319.8012691360084,265.460915006991,262.42683264837615,317.7229772451332,265.3578218065797,115,81,121,39.1156462585034,27.551020408163264,41.156462585034014,4,45
scenario1,simul1,4,263.0059702354547,314.0522290483831,265.460915006991,260.6656622884659,312.1780883892343,265.3578218065797,116,83,121,39.45578231292517,28.231292517006803,41.156462585034014,4,45
scenario1,simul1,5,264.4769003199764,322.87760444444365,265.460915006991,262.1376894400317,320.9346803561631,265.3578218065797,115,79,121,39.1156462585034,26.87074829931973,41.156462585034014,4,45
scenario1,simul1,6,264.82699973738215,320.0649966779263,265.460915006991,262.44738993407907,317.90680128893644,265.3578218065797,115,79,121,39.1156462585034,26.87074829931973,41.156462585034014,4,45
scenario1,simul1,7,264.48352573569736,312.04862974411776,265.460915006991,262.02748617478983,310.2729016349455,265.3578218065797,115,85,121,39.1156462585034,28.91156462585034,41.156462585034014,4,45
scenario1,simul1,8,264.50694562882893,314.3775243696216,265.460915006991,262.0374294360437,312.3948260475235,265.3578218065797,115,84,121,39.1156462585034,28.571428571428573,41.156462585034014,4,45
scenario1,simul1,9,262.9528326953006,311.4536895493379,265.460915006991,260.58426793553315,309.73825317314373,265.3578218065797,116,86,121,39.45578231292517,29.25170068027211,41.156462585034014,4,45
scenario1,simul1,10,263.31041963051365,318.4739682897164,265.460915006991,260.95890120293353,316.39228151114037,265.3578218065797,116,81,121,39.45578231292517,27.551020408163264,41.156462585034014,4,45
scenario1,simul2,1,265.81095940781995,320.6068898908185,257.9168575004126,263.48804148215044,318.5222305109975,257.3501940178212,114,79,126,38.775510204081634,26.87074829931973,42.857142857142854,4,45
scenario1,simul2,2,266.0759351028888,305.8092005868567,257.9168575004126,263.77701609085636,304.04577082642527,257.3501940178212,114,89,126,38.775510204081634,30.272108843537413,42.857142857142854,4,45
scenario1,simul2,3,267.3285350253982,309.96211683010483,257.9168575004126,264.9254382813273,308.0531184475523,257.3501940178212,113,86,126,38.435374149659864,29.25170068027211,42.857142857142854,4,45
